id,track_name,popularity,track_id,duration_ms,album_name,release_date,total_tracks,artist_names,artist_ids,genre
918,Nightjar (feat. SHELLS),60,2rNy5Ils7RO6m2E2W83CR5,149455,Nightjar (feat. SHELLS),2022-01-28,2,"['Vintage Culture', 'Sonny Fodera', 'SHELLS']","['28uJnu5EsrGml2tBd7y8ts', '39B7ChWwrWDs7zXlsu3MoP', '1ZwuShKjJItDJez0aDCsxN']",brazil
919,This Feeling,63,79SrdoXn93tgSzksq73X2y,196440,This Feeling,2022-04-22,1,"['Vintage Culture', 'Goodboys']","['28uJnu5EsrGml2tBd7y8ts', '2nm38smINjms1LtczR0Cei']",brazil
920,Desabafo / Deixa Eu Dizer,45,3l9y0qxIuH7qvvWNuG9IC3,176293,Welcome To COPACABANA - The Brazilian Melting Pop,2014-01-01,14,"['Marcelo D2', 'Claudia']","['1vEN3d3dJbmdHQpXD6AIkL', '52MnqrIGCqyidyL6ZkQraC']",brazil
921,Everybody Wants To Party,60,3hbi5zXAgQt0Z9V5JSOnCe,184838,Everybody Wants To Party,2021-02-26,1,"['Dubdogz', 'JØRD']","['4cdyqaBREB68H77QKCrKP1', '2dhLVCzAEMbAu1SSkAoOGV']",brazil
922,I Will Find,65,2bbfiUnH4CATlekDS1dxNr,224733,I Will Find,2018-09-28,1,"['Vintage Culture', 'Rooftime']","['28uJnu5EsrGml2tBd7y8ts', '4QZjx3AfLqJhGYkmWAEUm7']",brazil
923,Garota De Ipanema,62,2vTDA7mOYWtuduCylWfiFd,242760,Inédito,2007-06-20,24,['Antônio Carlos Jobim'],['3pO5VjZ4wOHCMBXOvbMISG'],brazil
924,Sorriu Para Mim,45,06baiB3MQP3UaRJjAgd0LG,188466,Bossa Nova For Beginners,2019-01-18,26,['João Gilberto'],['77ZUbcdoU5KCPHNUl8bgQy'],brazil
925,Sambalamento,47,0utN2UcAocw2Ewk6lzMRpx,139600,Composer Of Black Orpheus Plays And Sings Bossa Nova,2008-01-01,13,"['Luiz Bonfá', 'Lalo Schifrin', 'Oscar Castro-Neves']","['174ThXFgQg2VCq9r3m8ceb', '39iHRO9MH9To3gjW7wqaW1', '55PO0aYAH6lYKr0SqYR3Z9']",brazil
926,Bossa Nova Cha Cha,47,2yWmBpgvwr8G5W71mTVwDt,200613,Composer Of Black Orpheus Plays And Sings Bossa Nova,2008-01-01,13,"['Luiz Bonfá', 'Oscar Castro-Neves', 'Lalo Schifrin']","['174ThXFgQg2VCq9r3m8ceb', '55PO0aYAH6lYKr0SqYR3Z9', '39iHRO9MH9To3gjW7wqaW1']",brazil
927,Morning,47,7dEvUHcPU9jCXeYkKnHGKi,228026,Azymuth (Deluxe Edition),2007,21,['Azymuth'],['5lYcr7Yue9FUB7MJDBtTJx'],brazil
928,Perdido de Amor [Lost in Love],49,4xvpttkjjEH0l2hrizYla7,206066,Solo in Rio 1959,2005-02-22,31,['Luiz Bonfá'],['174ThXFgQg2VCq9r3m8ceb'],brazil
929,Unknown Jam,46,5TTnesU4FqO8b377ZENaqM,116666,"Demos (1973-1975), Vol. 1 & 2",2019-05-31,16,['Azymuth'],['5lYcr7Yue9FUB7MJDBtTJx'],brazil
930,Move Your Body - Tiësto Edit,52,6fKNqD073GoAQwpY7xyWVK,140160,Move Your Body (Tiësto Edit),2022-04-08,3,"['Öwnboss', 'Sevek', 'Tiësto']","['37czgDRfGMvgRiUKHvnnhj', '0aOIluXr131XqrXFwFCFGT', '2o5jDhtHVPhrJdv3cEQ99Z']",brazil
931,Bênçãos Que Não Têm Fim (Counting My Blessings),75,7dKqPh21HpsysZvRWyNeM1,209520,Bênçãos Que Não Têm Fim (Counting My Blessings),2023-11-09,1,['Isadora Pompeo'],['0f59qYByNYzspwAr7huTSB'],brazil
932,Intro (Rework) - Remix,61,27py1Q0fMmpuSYiOAKBZPb,233000,Intro (Rework) [Remix],2019-12-13,1,"['Vintage Culture', 'Bruno Be', 'Öwnboss', 'Ashibah']","['28uJnu5EsrGml2tBd7y8ts', '37UXlMGND0Tr7Su43RxHQ0', '37czgDRfGMvgRiUKHvnnhj', '5krSTcI0xPGmeloiQTPsYP']",brazil
933,Pleasure Chasers,56,6pf5Yqg1zSbsxHaLBf49BP,170471,Promised Land,2024-05-24,16,"['Vintage Culture', 'NoMBe']","['28uJnu5EsrGml2tBd7y8ts', '5Lhxlge1CR1DrgDAje8Qaw']",brazil
934,Another You,45,7pvcHG0pa3rOIvFy5XUzsY,193790,Another You,2024-07-03,1,['Le Dib'],['40UZHykE9w6eVKyURGjpgF'],brazil
935,Find A Way,53,51ehuSdtKvrsBGNWLOfQWE,212538,Find A Way,2024-05-10,4,['Vintage Culture'],['28uJnu5EsrGml2tBd7y8ts'],brazil
936,Velha Infância - 2004 Digital Remaster,69,1mSxbLW7fKABfeY4lGpg0E,250440,Tribalistas,2002-01-01,13,['Tribalistas'],['4laQz4PaKeh2Hu6QL6evVD'],brazil
937,Just One Fix,45,4P3pRa8uFRJo4Vo8DSwDvB,210200,Kairos,2011-06-24,17,['Sepultura'],['6JW8wliOEwaDZ231ZY7cf4'],brazil
938,Samba De Uma Nota Só,53,1CKhZVUyHhXKtN6Bo68xqq,180040,Inédito,2007-06-20,24,['Antônio Carlos Jobim'],['3pO5VjZ4wOHCMBXOvbMISG'],brazil
939,Told You,56,4UHPdV0a90USlUxUgnXIU2,242560,Told You,2024-02-02,1,"['Kiko Franco', 'Moser', 'Dyve']","['3SNKZ8uTQoSyMsUNqNBOD2', '65SpeN8U0BX9M36pxgiigT', '1u2imct5j7WJaYoVCA1sKE']",brazil
940,"Dias De Luta, Dias De Gloria",72,006pMMCuRo2TFjh8sNGSov,145466,Imunidade Musical,2005-01-01,22,['Charlie Brown Jr.'],['1on7ZQ2pvgeQF4vmIA09x5'],brazil
941,Deep Cut,43,3nZ8NNEHwRmxKbFV7fBeHS,213281,Deep Cut,2024-07-12,1,"['Öwnboss', 'EMAD']","['37czgDRfGMvgRiUKHvnnhj', '6Zs48LypDzoPWJdJhfAenh']",brazil
942,Stick-Up,50,6AdjsFu053x5Lk8pvzltnm,191428,Stick-Up,2021-11-19,1,['Pimp Chic!'],['3ov6ffsnAW2Q2bIo2FAOD1'],brazil
943,Esperar pra Ver,51,50nwDrekDB9iWeCvW0qIyn,127773,"Mr Bongo Record Club, Vol. 1",2016-09-16,14,['Evinha'],['6cnJ8gP9R3JEh5mCCvOwz3'],brazil
